Date,Source,Title,Author,Link,Subtitle
2021-11-18,Tracking People's Daily,"History Resolution Drafting Details - China-Israel Ties - Re-lending Plan for Coal - Stable, Safe Energy Supply a 'Precondition' for Low-carbon Transition - Zhao Leji on 6th Plenum & Self-Revolution",Manoj Kewalramani,https://trackingpeoplesdaily.substack.com/p/history-resolution-drafting-details,"Here are the stories and pieces from the November 18, 2021, edition of the People’s Daily that I found noteworthy. Page 1: There’s a long piece talking…"
2021-11-21,Supreme People's Court Monitor,Update on Civil Code Judicial Interpretations,,https://supremepeoplescourtmonitor.com/2021/11/21/update-on-civil-code-judicial-interpretations/,
2021-11-23,What's on Weibo,China Association of Performing Arts Issues Online Influencer ‘Warning List’ with 88 Names,Manya Koetse,https://www.whatsonweibo.com/china-association-for-performing-arts-issues-online-influencer-warning-list-with-88-names/,China’s canceled celebrities won’t be able to turn to live streaming once they’re on this black list. 
2021-11-21,What's on Weibo,Chinese Tennis Star Peng Shuai Attends Fila Kids Junior Tennis Finals,Manya Koetse,https://www.whatsonweibo.com/chinese-tennis-star-peng-shuai-attends-fila-kids-junior-tennis-finals/,Peng Shuai shows up at the Fila Kids Junior Tennis Challenge Finals in Beijing. 
2021-11-23,Chaoyang Trap House,Rewilding #2: Wind Vents & Flying Pigs,,https://chaoyang.substack.com/p/flying-pigs,Part 2 of a new series: an evolving dictionary of the Chinese internet. A close-up on the words that grow in the labyrinthine swamp of online life in C…
2021-11-22,RADII,The Comedienne vs. China’s Men’s Rights Activists,,https://newsletter.radiichina.com/comedianyangli/,
2021-11-23,Hong Kong Free Press,MeToo: Why Women’s Tennis Assoc. has little left to lose in leaving China over disappearance of champion Peng Shuai,Guest Contributor,https://hongkongfp.com/2021/11/23/metoo-why-womens-tennis-assoc-has-little-left-to-lose-in-leaving-china-over-disappearance-of-champion-peng-shuai/,"By Francesca Chiu Since Chinese tennis player and two-time Grand Slam doubles champion Peng Shuai publicly accused retired Chinese vice premier Zhang Gaoli of sexual assault early this month, she has all but disappeared from the public eye. This has raised significant concerns over her safety, with the Women’s Tennis Association (WTA) issuing a statement…"
2021-11-22,Hong Kong Free Press,Set up a tusk force: how to combat Hong Kong’s wild pig nuisance without culling,Guest Contributor,https://hongkongfp.com/2021/11/22/set-up-a-tusk-force-how-to-combat-hong-kongs-wild-pig-nuisance-without-culling/,
2021-11-22,Hong Kong Free Press,"Why culling is a viable, pragmatic option managing Hong Kong’s wild boars",Guest Contributor,https://hongkongfp.com/2021/11/22/why-culling-is-a-viable-pragmatic-option-managing-hong-kongs-wild-boars/,"By Anthony Lau and Evan Pickett The Agriculture, Fisheries and Conservation Department (AFCD) recently announced that they will resume culling as an option to manage the city’s worsening conflicts between city dwellers and wild boars. Under this new direction, wild boars causing nuisance in urban areas may be captured and euthanized directly, as opposed to…"
2021-11-21,Hong Kong Free Press,Hong Kong centrists test the waters as Beijing tries to avoid the appearance of a stage-managed election,Suzanne Pepper,https://hongkongfp.com/2021/11/21/hong-kong-centrists-test-the-waters-as-beijing-tries-to-avoid-the-appearance-of-a-sham-election/,"The demolition of Hong Kong’s democracy movement during the past year, along with the old way of electing local legislators, is by now a well-known story. Inevitably, the causes of this demolition have become the subject of contending narratives — between the central government in Beijing responsible for the demolition and those on the receiving end.…"
2021-11-21,Hong Kong Free Press,Foodpanda Hong Kong: Now we understand the heartlessness of the ‘gig economy’,Ilaria Maria Sala,https://hongkongfp.com/2021/11/21/foodpanda-hong-kong-now-we-understand-the-heartlessness-of-the-gig-economy/,"The gig economy is one of those phrases that has entered everyday language and become a form of shorthand, losing its pejorative force in the process. How is staying alive and supporting one’s family just a gig? With the now-settled strike of about 300 Foodpanda workers against tough working conditions and cuts in delivery fees,…"
2021-11-20,Hong Kong Free Press,"COP26 climate pact: kicking the can down the road, with help from China",Paul G. Harris,https://hongkongfp.com/2021/11/20/cop26-climate-pact-kicking-the-can-down-the-road-with-help-from-china/,"The COP26 climate summit in Glasgow was supposed to be a breakthrough in climate diplomacy. In the event, it was a step in the right direction, but only a tiny one. The resulting agreement among governments – the Glasgow Climate Pact – does not avert the worsening climate crisis. Instead, it kicks the can down…"
2021-11-20,Hong Kong Free Press,Hong Kong gov’t has to admit its failings over 2019 protests to win back public trust,John Burns,https://hongkongfp.com/2021/11/20/hong-kong-govt-has-to-admit-its-failings-over-2019-protests-to-win-back-public-trust/,"On December 19 Hongkongers will go to the polls to elect a new Legislative Council (LegCo). For most of us our participation is limited to choosing 20 out of the 90 LegCo members in contests curated by the Chinese Communist Party. The authorities are worried about the turnout, as they should be after Macau went…"
2021-11-19,Hong Kong Free Press,Steve Vines: The future of press freedom in Hong Kong,Stephen Vines,https://hongkongfp.com/2021/11/19/steve-vines-the-future-of-press-freedom-in-hong-kong/,"How many of us in the often dubious occupation of journalism are qualified “to continue the red blood line,” not forgetting the ability to “adhere to the correct innovation?” Yet these requirements for journalists were set out in a November 6 letter from the Communist Party general secretary to mark the 90th anniversary of the…"
2021-11-18,Hong Kong Free Press,How Hong Kong can tackle the climate crisis ahead of the next COP meeting,Guest Contributor,https://hongkongfp.com/2021/11/18/how-hong-kong-can-tackle-the-climate-crisis-ahead-of-the-next-cop-meeting/,"By Lawrence Iu & J Robert Gibson Could there be a greater contrast between the downbeat atmosphere and near-tears when conference president Alok Sharma quietly tapped the gavel to signal acceptance of the Glasgow Climate Pact, and the joy when the gavel came down to approve the 2015 Paris Agreement? Scientists have long argued that…"
2021-11-24,Taiwan Insight,Three ways to suppor Taiwan’s UN membership,Thomas J,https://taiwaninsight.org/2021/11/24/three-ways-to-suppor-taiwans-un-membership/,"Written by Thomas J. Shattuck.  ago, with the passage of United Nations General Assembly Resolution 2758, the United Nations admitted the People’s Republic of China and expelled the Republic of China (Taiwan). Since then, Taiwan has been internationally isolated and largely prevented from fully participating on the international stage. As Beijing continues its coercive campaign against Taipei and as U.S.-China competition intensifies, Taiwan’s international participation—centered around the United Nations—has again become a major issue. President Richard Nixon may provide a pathway for how the Biden administration should approach this problem"
2021-11-22,Taiwan Insight,Taiwan’s Music Reimagined in Garden Mingle: Is Blossoming Creativity Grounded in Resilient Infrastructure?,Chen-Yu Lin,https://taiwaninsight.org/2021/11/22/taiwans-music-reimagined-in-garden-mingle-is-blossoming-creativity-grounded-in-resilient-infrastructure/,"Written by Chen-Yu Lin. While the presence of music is found mainly in the side events of TCCF, it implies that music is an effective and powerful medium to engage the public and bring publicity. However, the relationship between music and other cultural technologies is yet to be probed, problematized, and identified. While the influence of technologies is praised and habitually presented in a positive light in TCCF, the unceasing tension between music creators and technological development—highlighted by discussions of streaming royalties and antitrust regulations—is concealed. "
2021-11-19,Taiwan Insight,No Island Left Behind: Cross-Strait Relations in China’s National Museums,Shih Chang,https://taiwaninsight.org/2021/11/19/no-island-left-behind-cross-strait-relations-in-chinas-national-museums/,"Written by Shih Chang. On October 25th, 2020, an exhibition commemorating the 75th anniversary of the recovery of Taiwan from Japanese colonial rule was held at the National Museum of China. The exhibition is divided into six sections that aim to show the “complete history” of the island of Taiwan from ancient to modern times. The first four sections: “Treasure Island, Taiwan,” “Nine States of Common Sorrow,” “Protecting Sovereignty against Japanese” Sovereign,” “Long Song as a Sword,” “Taiwan fending off the Japanese,” and “Cross-Strait Dreams,” objectively recreates the history of Taiwan’s “return to the motherland” and the development of cross-strait relations. "
2021-11-18,Taiwan Insight,From Meteor Garden to BL? 20 Years of Taiwanese Pop Culture in The Philippines,Yi-Yu Lai,https://taiwaninsight.org/2021/11/18/from-meteor-garden-to-bl-20-years-of-taiwanese-pop-culture-in-the-philippines/,"Written by Yi-Yu Lai. “Have you ever watched Meteor Garden (流星花園) before? I was so crazy about Dao Ming Si and his gang before!” Many Taiwanese might be familiar with the similar conversation when they first met their Filipino friends. Since my friends know I am from Taiwan, they sometimes asked me to sing its theme song Qing Fei De Yi (情非得已) for them. They also love to hum the tune to me, though they cannot speak Mandarin at all. "
2021-11-21,中国：历史与未来,从整体主义到个体主义——社会契约论的虚构与重构,张千帆,https://www.chinese-future.org/articles/my9lge9gpw5xrp6j9422fzc5pfe7zd,
2021-11-23,爱思想,政府信息公开收费,彭錞,http://www.aisixiang.com/data/129823.html,
2021-11-23,爱思想,怎么理解现在的00后？,许纪霖,http://www.aisixiang.com/data/129819.html,
2021-11-22,爱思想,历史不应只由胜利者来书写和褒贬,何怀宏,http://www.aisixiang.com/data/129801.html,
2021-11-22,爱思想,太虚大师对现今时代的判读,殷辂,http://www.aisixiang.com/data/129815.html,
2021-11-22,爱思想,历史不仅仅只有胜者书写——胡耀邦与西沙收复纪念碑立碑人张君然,陈剑,http://www.aisixiang.com/data/129810.html,
2021-11-22,爱思想,族群政治形态的流变与中国历史的近代转型,吴启讷,http://www.aisixiang.com/data/129802.html,
2021-11-21,爱思想,什么是自由？,汉娜·阿伦特,http://www.aisixiang.com/data/129797.html,
2021-11-21,爱思想,东部农村并非中国农村的未来,贺雪峰,http://www.aisixiang.com/data/129796.html,
2021-11-19,爱思想,乡村治理，来到十字路口,吕德文,http://www.aisixiang.com/data/129755.html,
2021-11-19,爱思想,中国文化观念的条理脉络和精神结构,刘梦溪,http://www.aisixiang.com/data/129752.html,
2021-11-19,爱思想,坚定理想信念 牢记初心使命,丁薛祥,http://www.aisixiang.com/data/129750.html,
2021-11-19,爱思想,从加入WTO到加入CPTPP,徐林,http://www.aisixiang.com/data/129757.html,
2021-11-18,爱思想,两个中国模式,许小年,http://www.aisixiang.com/data/129732.html,
2021-11-18,爱思想,道教徒的沉迷,汪涌豪 俞灏敏,http://www.aisixiang.com/data/129744.html,
2021-11-17,爱思想,关于《中共中央关于党的百年奋斗重大成就和历史经验的决议》的说明,习近平,http://www.aisixiang.com/data/129703.html,
2021-11-17,爱思想,在数字化转型中重塑品牌,邵春堡,http://www.aisixiang.com/data/129713.html,
2021-11-17,爱思想,“弹着图”与“枪后”,徐勇,http://www.aisixiang.com/data/129714.html,
2021-11-24,中央党史和文献研究院,近代不同政治力量拯救民族危亡的艰难探索,樊得智,http://www.dswxyjy.org.cn/n1/2021/1124/c428053-32290843.html,
2021-11-24,中央党史和文献研究院,中国共产党百年制度建设的成就与经验,刘荣刚,http://www.dswxyjy.org.cn/n1/2021/1124/c428053-32290751.html,
2021-11-24,中央党史和文献研究院,百年大党的伟大成就和经验启示,,http://www.dswxyjy.org.cn/n1/2021/1124/c428053-32290726.html,
2021-11-24,中央党史和文献研究院,从百年奋斗中把握实现中华民族伟大复兴的深层逻辑（深入学习贯彻党的十九届六中全会…,詹成付,http://www.dswxyjy.org.cn/n1/2021/1124/c428053-32290370.html,
2021-11-23,中央党史和文献研究院,坚持和加强党的全面领导不动摇,董振瑞,http://www.dswxyjy.org.cn/n1/2021/1123/c428053-32289618.html,
2021-11-23,中央党史和文献研究院,历史和时代之问的答卷,石建国,http://www.dswxyjy.org.cn/n1/2021/1123/c428053-32289504.html,
2021-11-22,中央党史和文献研究院,毛泽东思想是马克思主义中国化的第一次历史性飞跃,黄一兵,http://www.dswxyjy.org.cn/n1/2021/1122/c423718-32289017.html,
2021-11-22,中央党史和文献研究院,总结百年历史 着眼千秋伟业,杨明伟,http://www.dswxyjy.org.cn/n1/2021/1122/c428053-32288263.html,
2021-11-21,中央党史和文献研究院,从百年重大成就看中国共产党的接续奋斗,王均伟,http://www.dswxyjy.org.cn/n1/2021/1121/c427152-32287827.html,
2021-11-19,中央党史和文献研究院,按照共产主义理想，创造一个新社会,中国共产党历史展览馆,http://www.dswxyjy.org.cn/n1/2021/1119/c427167-32286696.html,
2021-11-19,中央党史和文献研究院,在总结党的历史经验中更好开辟未来（深入学习贯彻党的十九届六中全会精神）,颜晓峰,http://www.dswxyjy.org.cn/n1/2021/1119/c441455-32286534.html,
2021-11-18,中央党史和文献研究院,深刻理解中国共产党百年奋斗的历史意义,陈理,http://www.dswxyjy.org.cn/n1/2021/1118/c441456-32285675.html,
2021-11-18,中央党史和文献研究院,牢记初心使命的政治宣言,新华社记者,http://www.dswxyjy.org.cn/n1/2021/1118/c423712-32285496.html,
